N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
171.978868,45.01084865,176.0256316,6.545216728,0.562854772,0.268612311,16.94415491,112.977718,22.08856524,56.8734658,26.29897026,pomegranate
162.9276266,40.98946502,186.0369573,5.586049963,0.604661732,0.264433158,10.95903926,69.67349714,59.5543706,26.81505147,31.20761534,pomegranate
131.0499926,55.06217406,194.0035754,5.688730312,0.463242802,0.242874489,10.78715574,90.56973919,56.13531986,58.12371303,32.61645408,pomegranate
161.9331055,77.11002957,187.9745206,6.293299854,0.244345684,0.136702435,19.12598366,111.5232617,51.48794434,31.4622954,15.39988634,pomegranate
176.0716411,30.08282387,189.9681201,7.193441921,0.143465365,0.291138371,10.9038178,90.8321041,21.87901894,47.46621786,31.73309735,pomegranate
133.0146011,44.93347602,206.9592694,6.3188102,0.969012554,0.207062275,8.47031613,103.1303719,43.83859839,68.54915225,47.28431054,pomegranate
131.9758788,10.97793652,195.9539692,5.722267799,0.861262232,0.236551259,19.57487032,78.11129005,56.24738237,54.33330746,11.1298915,pomegranate
145.9331446,75.90698812,191.9759347,5.718559618,0.532335369,0.305670653,17.84072345,148.4572822,74.9219948,23.40745622,68.21025739,pomegranate
137.0343108,76.0306055,190.0006057,5.784264605,0.178819957,0.206924958,9.324445768,83.62205224,27.16923579,42.20766192,11.51591805,pomegranate
172.9967791,29.01247104,169.945821,5.950048659,0.467889988,0.192640798,16.35143499,70.24145401,24.03242573,55.14964966,19.26421008,pomegranate
167.9586842,64.01136385,205.9800632,5.830485738,0.329707661,0.150739405,12.9996088,76.78367005,42.69975416,48.61364433,31.23634008,pomegranate
172.050832,71.95244124,218.0470199,6.939018326,0.814481364,0.158619188,7.556856542,100.5818049,34.65875356,65.50269711,34.68186974,pomegranate
142.9871096,71.07352243,172.9334727,6.846153665,0.247547733,0.289893551,7.890494313,70.72778797,68.75716499,51.48585048,20.05973562,pomegranate
158.0259828,66.01671206,219.0054878,6.798182566,0.290152474,0.246695348,15.3009974,65.93828725,51.74001964,57.08600314,27.65239931,pomegranate
160.0095858,54.02101353,203.0338935,5.767388852,0.395374188,0.242204374,16.86323922,67.38300041,64.6446276,39.60433923,36.86693412,pomegranate
153.0648336,79.00480323,201.0461831,5.553320963,0.388470312,0.166293192,12.11281811,103.0011998,47.10294996,52.58092013,16.6009692,pomegranate
177.9549258,32.02004628,182.0505196,6.236280783,0.061287104,0.259800802,8.01154652,61.98327173,26.67758209,45.86259191,15.72093544,pomegranate
140.0320264,61.01452936,192.925319,6.719681232,0.067822863,0.224419176,14.71316624,116.147134,57.04346322,55.85848249,43.65748737,pomegranate
178.0834256,15.95737123,179.0706813,6.957237887,0.823511934,0.146299789,15.37593068,108.7879672,63.14983927,34.98608018,10.91540318,pomegranate
146.016455,68.90536456,176.9688213,6.878167161,0.85431216,0.089891548,18.71204587,111.086736,69.31650805,20.06704816,49.24534887,pomegranate
136.0124038,78.0502419,214.9831614,5.771991911,0.088190631,0.235076735,18.19029122,67.6637684,56.4177022,34.30157002,12.05464856,pomegranate
103.9850483,23.03143164,192.9897476,5.865259703,1.122883335,0.13897181,15.79456866,60.22166428,85.25450634,33.3932469,67.89215933,pomegranate
150.9003902,11.9904828,195.9403716,6.933207271,0.557462682,0.112695547,5.355971922,60.93925435,40.28228058,69.94166916,19.31121451,pomegranate
146.9728628,21.08575067,194.076646,6.849113053,0.757638339,0.177287463,9.375047422,96.67393179,54.63501611,64.88864087,14.80556272,pomegranate
169.0644323,26.03754891,220.0171733,7.183823992,0.050591191,0.249019674,9.16772632,118.9338934,20.59380946,67.42591602,31.28251901,pomegranate
129.9931399,10.94515879,200.0231782,6.013035319,0.728637907,0.115917282,19.29037369,115.2670769,43.62591044,46.72516303,24.36112904,pomegranate
167.0210105,38.90481161,183.0455348,6.43426774,0.636466783,0.187525697,5.654951452,66.28652152,68.06633201,27.76319876,20.73106042,pomegranate
150.0515406,62.06204757,175.9798881,6.071291551,0.863154619,0.101958293,16.43136688,87.00201526,54.03644903,34.7107259,35.05084714,pomegranate
103.939091,22.95432505,192.8563173,5.755143313,1.192782085,0.326121944,15.68065971,60.23153941,85.33084323,33.4496914,67.90609725,pomegranate
142.9467518,70.98961033,173.0065157,6.905166498,0.123493941,0.24902522,7.784037901,70.82210188,68.62290524,51.47563948,19.97393203,pomegranate
155.0098587,65.99055276,85.96106505,5.913472876,0.094487948,0.060666563,13.36367745,78.64843547,46.90404383,33.28710687,45.06832393,pomegranate
146.032455,75.87227066,192.0034122,5.657136224,0.580937556,0.314586914,17.79719641,148.4384728,74.95195502,23.40514168,68.15703529,pomegranate
131.0682801,36.03100872,208.9636684,5.834303486,0.776672036,0.250687605,5.511340425,79.79509004,50.46089471,35.67493249,40.99469015,pomegranate
177.020961,78.98070376,214.0357663,6.407610809,0.283129407,0.196733427,5.942352421,98.69238328,64.63180404,44.20969834,10.3694775,pomegranate
150.0905069,13.9272851,215.0361491,6.826656371,0.378855514,0.195084395,14.06304972,105.0262821,24.90702812,67.38585257,37.21290637,pomegranate
132.0188025,11.03113397,195.9862201,5.668768932,0.810062912,0.113129831,19.54882612,78.14610669,56.33255318,54.24913798,10.97642772,pomegranate
171.0457112,34.05665134,201.0567227,7.13420926,0.978758405,0.198719674,12.20425925,66.57262376,39.52994011,67.45840566,47.19686052,pomegranate
135.0347006,62.98848521,169.9864144,5.984123279,0.408306745,0.232232493,7.997344599,60.3133725,57.29020535,51.38447498,22.48967391,pomegranate
163.0092859,51.00965273,197.9212678,6.579445519,0.633153775,0.240981953,5.529413105,78.87717221,30.30001727,41.51736013,30.40321205,pomegranate
177.9704253,16.02404848,178.9736761,6.870272497,0.691502458,0.212767403,15.34299095,108.6981576,63.18302733,35.00816817,10.95138733,pomegranate
161.039077,57.09408108,185.9579425,5.866995305,0.905919308,0.230856478,9.477635815,101.0388175,51.92205388,42.93697687,32.57464659,pomegranate
169.9691608,56.97088577,203.0592452,6.637201651,0.969789615,0.366705339,10.64370648,108.1443091,68.97975246,50.70041844,43.65111009,pomegranate
145.9847592,43.04830502,194.9330181,6.738406344,0.085524714,0.267316186,10.24719141,105.333832,66.56147082,21.69351281,35.18491964,pomegranate
140.9987646,68.93739552,210.9681693,5.774939726,0.658566774,0.225871729,12.30935852,116.8497839,68.29507818,43.35095421,42.20581756,pomegranate
151.1137072,11.9575576,195.9911239,6.967081402,0.584592433,0.044300956,5.265050838,60.91039002,40.20528545,69.85124928,19.38030448,pomegranate
143.015183,71.08235429,172.9886415,6.915762154,0.210973264,0.288885286,7.810618908,70.92546382,68.72436672,51.49806793,20.03785758,pomegranate
154.99639,65.94437723,86.05900055,5.847559512,0.153597147,0.120845273,13.39946625,78.71480255,46.96620736,33.23299839,45.08321998,pomegranate
141.0716519,20.11453235,208.0298057,6.566625194,0.462643763,0.251971931,7.452116446,104.4409063,29.32029601,68.97393212,18.30883345,pomegranate
103.9679587,22.99542393,193.0937666,5.842113861,1.245636252,0.172563476,15.81269344,60.29239984,85.23028796,33.41887093,67.96592933,pomegranate
161.9300119,77.04061712,188.0446038,6.378722764,0.193028009,0.295276302,19.01783974,111.4461848,51.5036211,31.51477038,15.29084788,pomegranate
132.979391,44.97464871,206.9430761,6.331839424,0.937549141,0.222023774,8.379314502,103.1845541,43.81947689,68.46051484,47.23801243,pomegranate
132.9678215,32.06768636,212.9426524,6.26724933,0.955442806,0.302876152,14.602835,90.76991264,46.43082981,38.55506919,23.65873889,pomegranate
178.0208231,16.08168292,179.0073438,6.94758976,0.798695326,0.204530428,15.43798102,108.7065961,63.1787337,34.98825976,10.95808989,pomegranate
152.0221672,55.93951504,218.0316493,6.413642001,0.344466967,0.233521393,14.12457727,107.6486215,40.8375507,65.90440404,14.58073941,pomegranate
157.005971,46.0387801,199.0309311,5.78129789,0.011747546,0.184615462,7.492078276,64.97135883,24.67964366,56.94835249,20.63977261,pomegranate
151.0518489,11.99469981,196.0452166,6.88435073,0.608084316,0.19771517,5.281801629,60.88675182,40.2233633,69.82218636,19.22655186,pomegranate
132.0083906,50.95227197,185.084887,5.715049118,0.75709627,0.175824587,19.24404885,80.05487624,30.93310047,36.39966862,37.76526778,pomegranate
145.9368864,42.99677893,194.9814231,6.73747531,0.228047914,0.212646492,10.22808352,105.4024711,66.53057474,21.78774909,35.41686483,pomegranate
146.0264646,68.94261813,176.9511349,6.903601556,0.716716822,0.231531208,18.83583122,111.0031876,69.36372958,20.08512316,49.20397502,pomegranate
157.899581,78.95499919,181.9409978,7.073915132,0.337091636,0.291188082,10.76410365,73.9385573,26.86542924,55.32114349,15.64501387,pomegranate
131.0740085,60.96251607,180.9692884,7.079131206,0.081820704,0.195390265,16.28924194,75.4770768,34.60129276,32.56920639,35.74835138,pomegranate
140.0508326,62.99765321,201.1074833,6.715076882,0.986450021,0.220238599,20.02531267,63.96017851,69.10406147,46.44797796,44.51085768,pomegranate
144.9486704,61.04701325,186.9434294,6.556745683,0.696032804,0.276290992,11.03208992,116.1842474,54.41344781,52.46208905,30.78881926,pomegranate
146.9848125,20.9942469,193.9634957,6.964535885,0.892865784,0.208770227,9.363426841,96.68108967,54.58445862,64.91218711,14.86238254,pomegranate
164.0283675,72.0082999,205.9390685,5.968414379,0.826113963,0.36880503,10.10183609,72.83671772,29.03298564,61.0657999,48.08453354,pomegranate
136.9467784,76.01689429,190.0800205,5.807698699,0.1814055,0.19876574,9.404670131,83.53396625,27.07874783,42.26806681,11.53996643,pomegranate
179.9991303,10.94124406,211.081431,6.08135724,0.771966091,0.26394408,5.821329246,92.51565511,37.34367014,47.65121464,48.27528258,pomegranate
173.9611821,75.99647486,216.0009274,6.310173786,0.626920457,0.175650798,19.4689275,107.0033474,53.13479333,22.99015208,46.67992042,pomegranate
177.0159218,78.94782688,214.0584751,6.394179385,0.289134882,0.273281962,5.963150396,98.83957076,64.64733873,44.22658853,10.38771664,pomegranate
162.0680348,76.99366149,187.9835638,6.317422496,0.175709505,0.250030154,19.16656038,111.4217788,51.56212291,31.45995532,15.40728438,pomegranate
84.97808912,79.96368632,130.9731339,4.993453144,1.354377153,0.301809876,18.71567607,51.07476943,87.67444453,41.66472218,70.3568021,mango
109.0022039,71.9692155,184.9825401,6.081906804,0.972630327,0.293033829,9.006918396,179.6737566,65.93653737,48.28576834,74.06594248,mango
111.9910104,87.95917236,148.0781034,6.157959546,1.465595967,0.324800874,14.32699735,63.08066335,81.76522253,44.99230373,66.55320876,mango
131.9502303,79.98456169,155.9954402,5.360941287,1.132451781,0.116416857,9.528569797,136.2690585,53.64798044,26.70600914,68.40933792,mango
108.9945753,71.97604644,184.9590674,6.074377232,0.805310475,0.264112608,9.026413104,179.789336,66.01577305,48.33066064,74.0154089,mango
120.9696988,44.96349323,61.0561063,6.169853405,0.995225404,0.137632507,11.965612,131.9928806,120.3212455,32.18943859,29.11575543,mango
136.9902601,74.0576788,187.9964842,6.068003359,0.584880139,0.220575692,15.45290019,84.78555751,51.86257303,49.99962347,69.49876241,mango
112.0458578,87.07698982,145.0347085,5.053675922,1.256258002,0.255427346,8.215686897,55.130226,82.62195938,20.71249179,71.20293145,mango
117.9967138,73.94299394,165.0236234,6.64311258,0.577834177,0.361162307,13.95778148,132.9350861,81.72921046,40.97037444,71.7749149,mango
82.00601642,79.98058653,149.0573993,5.38763287,1.282382635,0.240096677,10.25857633,125.2354929,50.50581756,22.54835901,57.364282,mango
99.98275435,82.00269413,158.9467583,5.399209573,0.634444617,0.239500086,14.29596238,148.7891425,61.26855738,40.07838888,68.72670028,mango
84.91103895,79.98541193,130.915938,5.089094831,1.248947567,0.317426702,18.64709091,51.12736937,87.68329773,41.56376611,70.37903713,mango
129.0227527,85.11135941,179.0135429,5.217559969,0.90438668,0.286662547,12.14210074,123.9737227,77.63915386,30.13352667,67.36030095,mango
148.0988913,75.98024563,197.0345349,5.988776322,0.898505737,0.203641628,15.91240797,110.1487823,65.89695095,20.61529893,55.36126006,mango
144.942273,72.98921845,181.017154,6.381722555,0.804638367,0.240423053,8.805322093,196.6116099,54.70777603,37.80717518,52.66202003,mango
111.9764184,80.98481689,137.9205199,4.813357876,0.84464728,0.18970429,10.65999271,158.9791166,57.36982502,23.17068997,71.33541622,mango
103.9815537,84.89229788,172.0104653,5.218672747,1.141567323,0.186072704,16.39393396,105.5564277,64.41024097,49.58072758,61.15102806,mango
113.9786259,82.00489014,182.9001531,6.097022017,0.611887272,0.382894169,9.978784714,180.4866586,53.21528905,48.55202925,56.52791451,mango
111.9794706,85.06177756,183.9666907,4.654442243,1.014576377,0.415013786,15.36559896,156.3211232,65.20450923,47.24615783,52.15855624,mango
126.0068219,31.02741651,56.00164087,6.287190821,0.540710575,0.312036239,22.29731082,165.2090018,302.2122751,25.95280077,25.12373127,mango
112.0244625,87.02659597,145.0835934,5.042472173,1.374481119,0.221417643,8.331011142,55.24839611,82.58257081,20.69479799,71.19606718,mango
122.0941472,85.05346802,183.9742244,6.648511921,0.915869429,0.234127317,18.79701702,92.37208889,62.59978052,26.68622897,52.16778627,mango
144.9198239,88.05731262,135.9869718,6.296507716,1.42507612,0.330309029,15.82864792,100.4567726,88.62516827,45.52392934,64.50690229,mango
97.05334295,82.99568447,144.0892754,4.714376996,1.272028834,0.329144562,18.09623076,167.2434514,57.49193548,21.36329988,66.8886649,mango
117.9117186,69.95281352,153.0322177,5.634567889,1.184935226,0.260742811,11.14842223,162.3017866,84.41833348,27.68729814,69.98480734,mango
128.0460651,89.10419042,191.0482398,6.958700429,0.933680231,0.250806134,9.47681513,119.3743317,80.28305028,41.2306586,54.32541536,mango
112.0165471,80.95420209,137.9440429,4.776106356,0.840452593,0.129088275,10.61975149,159.0309622,57.33480219,23.26164455,71.38806564,mango
112.1347679,87.96268728,148.2097118,6.229719292,1.442299388,0.207104227,14.38544889,63.09619054,81.71575744,45.03229819,66.51096317,mango
121.9086979,84.9934679,183.9841021,6.550563816,0.948323685,0.269451927,18.7890672,92.38622901,62.61261492,26.6987059,52.24300691,mango
81.05887034,75.91862768,136.0447025,4.734333405,1.34516742,0.211562909,8.21447256,134.8259055,73.01124196,31.48587837,74.15697212,mango
132.0018645,86.9686797,194.9504248,4.438186927,0.913599993,0.344157765,18.14926135,72.36365276,88.1125769,44.83226709,74.47154434,mango
82.011392,80.04715818,148.9203417,5.389193947,1.333083743,0.320060207,10.35704203,125.2186061,50.47112766,22.39823798,57.38388885,mango
128.9628341,76.04607425,169.0677824,5.060096941,1.03352908,0.275977306,12.32883273,89.82509899,87.87213752,31.48181991,58.29208092,mango
127.9561872,89.07521115,184.0024584,6.486838491,0.723970603,0.246903885,17.43161569,122.1891,95.94229448,46.74988622,57.73809468,mango
117.948517,86.03359298,179.0511731,5.61879118,0.812617898,0.235065133,16.1193184,172.7478339,63.94831927,22.58695232,60.76086902,mango
96.98666091,83.96989668,183.0089614,4.521622765,1.411400458,0.269927527,8.358179044,173.9097574,92.09181795,31.38429358,51.62509706,mango
85.05495641,80.10340233,131.0498223,5.038815179,1.245946359,0.402999168,18.71048004,51.09604045,87.70194055,41.62694379,70.26797757,mango
147.9986922,75.99566919,196.9721522,6.00985351,0.850485491,0.247647381,15.76806036,110.1858811,65.86534724,20.66527487,55.29083178,mango
104.9897173,82.00757995,194.910049,6.166248647,1.21316562,0.217452888,15.63063147,59.20053417,85.60744528,34.66569679,69.00311173,mango
148.0411496,76.01825247,196.9647232,6.004480995,0.898070867,0.214357257,15.84165835,110.2538877,65.85455434,20.70721569,55.42428006,mango
112.0482069,81.01752618,137.991382,4.748486736,0.861519911,0.128884171,10.65914828,158.8975759,57.3668463,23.27944036,71.2996108,mango
117.9073316,70.02570063,152.9341116,5.773107837,1.05131736,0.261837853,11.05334834,162.260735,84.47628925,27.63804478,69.83057208,mango
129.030041,84.95077871,179.0173831,5.102565251,0.827263751,0.230729346,12.05983548,124.0447574,77.74826393,30.1476468,67.24740564,mango
132.016582,73.00850525,196.9972011,6.403264736,0.83086233,0.263707923,17.93827192,63.59354266,70.05757417,45.09238806,70.03966556,mango
98.02310088,85.00161868,190.9359743,6.050831367,1.42953962,0.20716404,14.59586381,179.6860439,85.73903961,47.79929001,65.92142958,mango
129.0470136,76.03644463,189.9544185,6.469253378,0.569433831,0.36384718,14.39502066,178.8042498,91.07742971,30.0715583,53.50943919,mango
121.0144611,44.98986317,60.94377467,5.988770629,0.953225372,0.164367426,11.93769645,131.9717044,120.316886,32.16133475,29.05888451,mango
90.94298361,78.04028424,158.9544658,6.423534029,1.339952983,0.177439392,16.29757389,130.8280167,57.55488817,44.15515401,68.2432158,mango
123.0160675,80.99715511,126.108899,5.339926839,1.240788316,0.300720206,17.8881841,98.41277158,79.90591993,49.97714726,56.78471086,mango
90.92170512,77.99337291,159.0219278,6.418633699,1.401909682,0.118668247,16.34257831,130.7534935,57.53719794,44.15707613,68.10233523,mango
119.9895891,75.96034769,123.9853388,4.935378119,0.513761774,0.312183177,14.42020827,128.3999531,71.42669599,33.22979781,70.92334379,mango
111.9623928,84.98551073,184.0159877,4.606853179,1.107585471,0.238231486,15.35390993,156.3990793,65.28684904,47.29873252,52.18290004,mango
138.0184501,86.01974667,148.9857956,5.922335193,0.703174711,0.177357063,12.45861663,145.6251973,85.64388111,49.71555744,58.21693787,mango
81.00692761,77.00427904,151.0900451,5.629939127,1.41875669,0.361457542,11.12029342,71.02718866,82.73040072,30.28243548,52.4276114,mango
91.01960642,78.02093937,158.9353957,6.407493298,1.30013053,0.193750443,16.35792409,130.8692241,57.49493776,44.19344973,68.1893827,mango
106.9783991,78.98539505,126.9290094,5.775745773,0.801429917,0.285399191,9.479359337,80.94689408,89.15697361,29.20204682,60.94138277,mango
147.974416,73.97837621,196.0258204,5.414224185,0.800301525,0.274682746,17.87813852,147.9663027,78.04769114,23.09012241,67.23515402,mango
107.0298689,78.99712027,127.0229023,5.7444611,0.801472725,0.288111088,9.471429742,80.9322457,89.11416912,29.20247248,61.00673178,mango
126.097118,79.96976249,161.0180551,5.758796453,0.702441045,0.334106822,14.2716454,158.8090639,63.25478571,47.784732,73.21038187,mango
103.969462,85.00011416,172.029002,5.275602798,1.15021949,0.228234341,16.38024699,105.5259591,64.48311833,49.62163222,61.24097732,mango
98.03375672,77.97497818,179.0253767,6.84507656,1.301559813,0.172453912,19.80127307,190.6576115,56.12303821,49.96608456,62.75804029,mango
112.0320461,86.95268802,145.0131746,5.066199067,1.376817825,0.113626462,8.349219902,55.14213791,82.57168873,20.75029879,71.10321893,mango
132.009899,86.99010972,194.9756132,4.46727397,0.868552646,0.352729108,18.21699266,72.420988,88.07388611,44.89232206,74.56590401,mango
105.0693309,81.95422588,195.0076299,6.221752271,1.149397158,0.30033559,15.59448686,59.33635483,85.55945665,34.56397495,68.75782275,mango
106.9595703,78.90827426,126.9512161,5.716942872,0.709103337,0.254633053,9.467857896,80.88186995,89.16794126,29.15516168,60.89439839,mango
90.92198236,79.9250926,132.0241052,5.398898504,0.816743119,0.29636159,9.587938574,99.13936651,72.64324935,42.74130216,50.05020028,mango
121.0111152,76.06602885,169.0177232,4.824231754,0.83780669,0.241010262,10.03120381,78.73670346,78.65734632,27.19778256,69.00744198,mango
81.07073353,77.04385779,150.9920174,5.622109869,1.448638516,0.260390286,11.31171269,70.97430521,82.82680178,30.22951561,52.3589273,mango
97.0366037,83.89030549,183.0902629,4.6060304,1.566745025,0.291132879,8.407752091,173.8780319,92.03249978,31.2954408,51.48819537,mango
88.02477133,78.03058065,171.0236374,6.601142429,0.855225505,0.254245397,13.79902086,169.6251914,88.94789284,32.09364169,59.78945755,mango
118.0205949,86.03835162,178.9921738,5.857220525,0.868554284,0.307737545,16.05588842,172.7304235,63.94632803,22.78182364,60.69816071,mango
79.9333711,70.99559559,169.0357027,6.428659769,1.318707102,0.193896778,10.34452061,59.01993761,89.48441704,45.51032092,71.99967074,mango
119.9898369,75.98351825,123.917028,4.887155421,0.498749782,0.213654468,14.42955844,128.4149566,71.30008241,33.14293601,71.00671258,mango
144.9987575,72.94263566,181.056876,6.387572933,0.807437988,0.174620657,8.769557303,196.6866582,54.69307585,37.81694284,52.54438276,mango
88.0681737,78.00686078,170.9421852,6.463012244,0.80289401,0.113543487,13.76907992,169.6327626,88.92431354,31.97838505,59.70154784,mango
125.9723107,30.93613501,56.10081961,6.210685439,0.53955691,0.330988592,22.29225681,165.1938848,302.1637605,25.99054371,25.12130032,mango
110.0401009,82.06730541,167.0145197,5.826448407,1.121598803,0.251383635,15.12368959,139.7259497,60.60176783,44.25667998,71.472333,mango
111.9808373,84.97214349,184.0239756,4.717446485,1.13603178,0.403859345,15.27942398,156.4115013,65.23697625,47.31525704,52.1071262,mango
84.9990177,80.00282145,131.0046905,5.008841702,1.260563822,0.325970255,18.73016037,51.15296855,87.75715923,41.60419635,70.37327039,mango
111.0730937,82.07637247,163.9629431,5.750791761,0.552157333,0.180744423,14.63059249,197.0671383,82.36267004,46.74881612,58.44730267,mango
116.0076647,88.05967401,192.995532,6.713131161,1.227272135,0.168328827,19.06959872,160.7476615,50.70982016,30.59350267,73.39582351,mango
131.0037655,80.01439807,159.0299083,6.37617575,1.003486,0.375802011,13.5878275,98.48416243,64.63142928,26.91779249,62.36026157,mango
148.0383274,75.97072537,196.9615141,6.003481681,0.829781657,0.173023992,15.74029821,110.1587852,65.90316543,20.75617852,55.38489395,mango
85.97204451,79.97247267,194.9343773,6.764751112,1.270788595,0.225850612,19.52708095,62.65566246,55.70476747,22.58623403,64.77645722,mango
102.0711973,89.03412488,160.0355979,5.298819179,1.097222251,0.351018563,8.730847454,178.9077657,66.68342147,29.78857405,74.03999411,mango
122.0669178,85.93343138,167.0004055,6.391897979,0.752610589,0.413937688,9.817051012,99.06550635,68.04766704,47.83579027,60.26712431,mango
117.9537313,73.97769784,164.9078044,6.538261461,0.651725148,0.331412167,13.96592563,132.9087632,81.74067002,40.98387593,71.85882918,mango
107.1067467,79.07195317,126.943379,5.692220035,0.744636015,0.30365656,9.434987399,81.01419292,89.09092129,29.18530827,60.9459232,mango
82.05193943,85.99306676,135.9819594,6.753876478,1.219248256,0.219323478,17.811242,107.0930865,88.47927412,20.87528968,66.13379771,mango
105.0034738,71.97999417,164.0573447,4.930791948,0.961694606,0.1341273,15.33904781,148.2767193,59.17441854,25.84285491,55.54401222,mango
123.0016309,74.04629505,133.9766806,6.011698492,0.844919403,0.290608645,19.94234891,140.233146,99.17516248,23.19591919,70.4773957,mango
111.9489912,88.01997767,148.0475722,6.183988539,1.413273273,0.242946739,14.45639823,63.03042768,81.80065056,45.00905963,66.50798376,mango
126.9481128,71.97679016,167.9613859,6.471635389,0.566840026,0.186656925,13.1214885,92.30672719,73.32349818,45.74103107,52.83489386,mango
131.0435812,79.98801479,159.0001285,6.245156273,0.996377418,0.237507921,13.58938795,98.50322923,64.68024584,26.96787081,62.39249694,mango
106.0005106,73.00495353,191.0713621,5.075597482,0.9598226,0.277424169,15.2128587,115.744187,71.75408509,28.040963,69.71624846,mango
140.0376871,88.01159228,155.9325743,5.703471264,0.848297055,0.260751036,10.59224495,69.44879336,60.939024,41.15321744,69.04274594,mango
128.9028666,52.02785671,64.00538152,5.542462158,0.130617298,0.003360347,24.72984075,105.0468637,114.1082321,49.73966818,38.44070351,grapes
154.9684435,66.01608301,77.92962263,6.427567827,0.177925966,0.064595635,5.624319228,86.17843297,67.85158155,35.19677504,32.21001188,grapes
171.0370908,51.06241928,87.05485344,6.206264528,0.244160627,0.077949166,18.51208061,57.3017884,32.43978459,36.72480736,40.69695529,grapes
136.103854,30.08160138,64.90682204,6.040897015,0.176656082,0.162885265,7.165878281,63.73752273,95.22776104,44.5066706,42.64258229,grapes
170.8816603,51.09476409,86.90792478,6.253969321,0.182791014,0.185155183,18.56715858,57.26699958,32.50814525,36.53796052,40.64337777,grapes
127.0152989,31.01134258,83.95226604,6.265760086,0.088965656,0.072149432,6.324740806,104.1177349,68.2461452,34.07388987,31.08177368,grapes
178.9594204,59.04811883,88.08205388,6.38721762,0.156441198,0.017322379,10.55671284,100.490756,134.0460827,47.54318435,34.19764501,grapes
168.0472266,53.9582369,92.98014769,6.408837338,0.254156774,0.055066286,20.76682965,73.35600115,63.58499301,34.77888059,38.65313423,grapes
178.9879699,59.02066279,87.98640133,6.243827239,0.23024227,0.079745603,10.60968865,100.6075579,133.9879437,47.53061136,34.20175561,grapes
174.0345491,67.94218812,91.98982536,6.461260265,0.134790082,0.133151546,15.35932873,98.85624467,95.39876237,44.755902,25.22700914,grapes
111.9552666,51.00305111,81.99866036,6.475557409,0.160923953,0.102695766,11.07985952,103.8058943,78.74383256,32.84889876,35.86645507,grapes
174.0788897,68.02107741,92.07475851,6.481435988,0.249384194,0.116466031,15.38657713,98.95643174,95.42395271,44.7271694,25.18254086,grapes
131.9977775,59.97753775,89.92443838,5.892743437,0.157008867,0.254792372,24.84218721,114.5867168,145.349772,40.81445456,37.32873813,grapes
173.8835552,43.95963772,87.98169186,5.877523097,0.286223861,0.100761996,21.90101401,98.4821155,91.17330134,41.05725956,41.45206794,grapes
177.9836465,43.01292425,94.94647262,6.152789353,0.048691487,0.115820456,14.89578175,131.2363332,139.9221503,37.63991475,48.22889656,grapes
153.0274585,66.08262287,64.04786395,5.745488912,0.12593536,0.071826587,13.74539685,54.21468189,147.5070739,40.92494081,46.55690519,grapes
174.9633868,49.90470537,65.00735913,5.571532993,0.273728519,0.142564663,16.90148755,96.68945838,91.20975834,44.24376188,46.64305506,grapes
148.0300009,54.08045273,78.97770796,5.728811567,0.220663097,0.060715387,16.80086854,88.23949438,89.49346191,30.660957,49.38748631,grapes
139.0166245,37.90602211,93.08230798,5.767633931,0.145362373,0.148547101,11.66369061,113.1071929,73.55285233,43.61345155,36.53154212,grapes
141.9813667,26.99486218,57.05055893,6.244474979,0.811159543,0.2697986,23.43626905,117.0727903,678.3137144,21.35978185,11.30758771,grapes
146.0284075,37.03899706,71.97188464,6.366217873,0.129918409,0.210546783,20.59258141,121.3023929,47.08970561,47.99300014,38.39755481,grapes
104.9877003,51.98875232,86.99559535,6.508316342,0.207803314,0.20071069,9.413385821,125.2742257,145.8102968,49.38248518,29.40860146,grapes
125.9173227,46.00328965,65.95540238,6.16440116,0.124491466,0.080241826,25.02955912,145.2218463,133.909478,37.80583351,37.30175056,grapes
142.9721962,59.03235829,95.00597648,6.184890806,0.155513763,0.051430728,23.0510016,126.192955,66.92660377,45.81809473,27.23505969,grapes
110.010062,31.9921113,60.87251819,6.323184496,0.260152456,0.070223665,17.65727397,57.02828513,35.98688601,49.89163043,44.84202717,grapes
114.0906,46.90269185,78.00079794,6.034027147,0.082876575,0.078851795,19.06062622,80.38948416,35.08857068,36.19019419,40.44567661,grapes
117.9035834,31.99161654,98.05058841,5.694715045,0.148401307,0.172373022,11.78410595,83.24110105,110.5196983,40.5588548,49.55458685,grapes
131.9940135,60.078821,90.04075905,5.876851586,0.13561606,0.175470621,24.84123985,114.5639261,145.3970752,40.8130778,37.4273057,grapes
119.0056316,66.96544495,63.95379942,5.685251678,0.06518828,0.073429271,21.73577781,114.2351035,118.0323426,30.96480004,34.92223871,grapes
128.0305463,32.9463753,65.98328032,6.030276749,0.109748711,0.200403402,9.832800412,125.8043532,121.1469785,30.49467056,38.43091667,grapes
174.0147704,35.06560615,72.03822495,6.172764173,0.145800202,0.010185681,24.41056973,81.23749376,130.2935337,48.99839179,28.3532539,grapes
133.9725308,38.00473331,83.99587281,6.368258206,0.179532508,0.243681168,15.32755559,142.5322062,85.80148038,43.90724621,45.10826794,grapes
168.0458508,53.97698703,93.04668754,6.448120677,0.139939162,0.153182534,20.68127351,73.30528467,63.64593046,34.72316212,38.77376935,grapes
